Task ID,Task,Concept,Route,Task Scope,Engineering Domain,Work Pattern,Start,Finish,Prior FTE-years,Revised FTE-years,Planned Labor Hours,Blended Loaded Rate ($000/FTE-year),Prior Labor Cost ($000),Revised Labor Cost ($000),External Engineering & Lab ($000),"Software, Compute & Data ($000)","Equipment, Materials & Fabrication ($000)","Facility, Test & Field Operations ($000)",Regulatory Review Fees ($000),"Legal, Hearing & Advisory ($000)",Travel & Field Support ($000),Other Direct ($000),Risk Allowance ($000),Prior Total Cost ($000),Revised Total Cost ($000),Allocated Program Package Share ($000),Fully Burdened Task View ($000),Low Estimate ($000),High Estimate ($000),Total Delta ($000),Total Change (%),Estimate Class,Estimate Method
D-LP2-10,"Fuel-salt production, acceptance, transport, receipt, storage, and use authorization",Demonstrator,doe_launchpad,demonstrator_authorization,chemistry,design_engineering,2027-04-01,2028-09-30,1.312416,1.575,2646.0,237.416,252.827483,373.9303,366.312375,40.701375,0.0,162.8055,0.0,162.8055,81.40275,0.0,178.19367,960.677483,1366.15147,0.0,1366.15147,1092.921176,1980.919631,405.473987,42.21,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-11,"Host systems integration, shared services, and facility modification authorization",Demonstrator,doe_launchpad,demonstrator_authorization,systems_engineering,design_engineering,2027-01-01,2027-12-31,1.806192,2.167,3640.6,233.57,345.482669,506.145584,334.990687,37.221188,0.0,148.88475,0.0,148.88475,74.442375,0.0,187.5854,992.807669,1438.154734,0.0,1438.154734,1150.523787,2085.324364,445.347065,44.86,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-12,Integrated DOE/host authorization application and evidence index,Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,licensing_product,2027-10-01,2028-03-31,1.586736,1.904,3198.7,258.044,333.014976,491.315459,422.43525,46.93725,0.0,187.749,0.0,187.749,93.8745,0.0,214.509069,1149.314976,1644.569528,0.0,1644.569528,1315.655622,2384.625815,495.254552,43.09,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-13,"DOE/host technical review, audits, questions, and authorization-condition closure",Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,licensing_product,2028-01-01,2028-09-30,2.048544,2.458,4129.4,260.356,433.801785,639.956006,515.777625,57.308625,0.0,229.2345,0.0,229.2345,114.61725,0.0,267.919276,1475.776785,2054.047782,0.0,2054.047782,1643.238226,2978.369284,578.270997,39.18,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-14,Construction readiness review and authorization to perform irreversible site work,Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,management_control,2028-07-01,2028-10-31,0.661824,0.9,1512.0,252.484,136.922054,227.235313,255.347437,28.371938,0.0,113.48775,0.0,113.48775,56.743875,0.0,119.201109,630.347054,913.875172,0.0,913.875172,731.100138,1325.119,283.528118,44.98,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-15,"DOE/host construction oversight, authorization-basis configuration, and turnover evidence",Demonstrator,doe_launchpad,demonstrator_authorization,construction_installation,construction_installation,2028-01-01,2028-12-31,1.559088,1.871,3143.3,232.222,295.564206,434.487778,515.332125,57.259125,0.0,229.0365,0.0,229.0365,114.51825,0.0,236.950542,1336.639206,1816.62082,0.0,1816.62082,1453.296656,2634.100189,479.981614,35.91,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-16,"Commissioning, nuclear-material introduction, and operation authorization readiness",Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,test_experiment,2028-07-01,2028-12-31,1.891728,2.27,3813.6,231.168,357.413817,524.75153,455.619937,50.624437,0.0,202.49775,0.0,202.49775,101.248875,1e-06,230.586042,1237.838817,1767.826322,0.0,1767.826322,1414.261058,2563.348167,529.987505,42.82,Licensing planning estimate,Bottom-up activity-based estimate by work package
D-LP2-17,"Authorization-basis maintenance, experiment change control, occurrence reporting, and closeout",Demonstrator,doe_launchpad,demonstrator_authorization,licensing_authorization,operations_program,2029-01-01,2030-12-31,1.30896,1.571,2639.3,247.178,263.522592,388.31698,321.018188,35.668687,0.0,142.67475,0.0,142.67475,71.337375,0.0,165.25361,883.847592,1266.94434,0.0,1266.94434,1013.555472,1837.069292,383.096748,43.34,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-01,"Part 50 Class 103 CP/OL strategy, design-maturity allocation, and licensing plan",Power Reactor,part50,power_reactor_licensing,licensing_authorization,management_control,2026-10-01,2027-03-31,1.36971,1.918,3222.2,270.17,300.013794,518.186094,633.7716,158.4429,0.0,0.0,475.3287,158.4429,79.22145,79.22145,378.470717,1740.403794,2481.085811,0.0,2481.085811,1984.868649,3597.574426,740.682017,42.56,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-02,"Part 50 pre-application engagement, topical reports, policy issue closure, and readiness assessments",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2026-10-01,2029-03-31,3.031425,4.244,7129.9,258.996,638.84133,1099.17899,1656.0852,414.0213,0.0,0.0,1242.0639,414.0213,207.01065,207.01065,943.090558,4402.67133,6182.482548,0.0,6182.482548,4945.986039,8964.599695,1779.811218,40.43,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-03,"Construction-permit site safety basis, Environmental Report, consultations, and permits",Power Reactor,part50,power_reactor_licensing,site_environmental,licensing_product,2026-10-01,2028-09-30,3.259035,4.563,7665.8,236.86,627.622344,1080.793643,2469.852,0.0,0.0,0.0,1097.712,548.856,548.856,823.284,1182.483656,5617.222344,7751.837299,0.0,7751.837299,6201.469839,11240.164083,2134.614955,38.0,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-04,Preliminary Safety Analysis Report and CP technical application development,Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2027-01-01,2028-09-30,5.957955,8.341,14012.9,251.274,1222.534134,2095.872571,3078.306,769.5765,0.0,0.0,2308.7295,769.5765,384.78825,384.78825,1762.494763,8218.684134,11554.132334,0.0,11554.132334,9243.305867,16753.491884,3335.4482,40.58,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-05,"Construction Permit application assembly, certifications, and docketing support",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2028-01-01,2028-03-31,1.37781,1.929,3240.7,258.369,287.706816,498.393042,752.3208,125.3868,0.0,0.0,1128.4812,376.1604,125.3868,0.0,541.103228,2567.466816,3547.23227,0.0,3547.23227,2837.785816,5143.486791,979.765454,38.16,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-06,"NRC construction-permit safety and environmental review, audits, and RAI closure",Power Reactor,part50,power_reactor_licensing,site_environmental,licensing_product,2028-10-01,2029-09-30,4.2525,5.954,10002.7,257.004,889.798608,1530.200682,1908.3834,318.0639,0.0,0.0,2862.5751,954.1917,318.0639,0.0,1420.466163,6672.778608,9311.944845,0.0,9311.944845,7449.555876,13502.320025,2639.166237,39.55,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-07,"Construction-permit ACRS review, mandatory hearing, contentions, and CP decision",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2029-04-01,2029-12-31,2.304864,3.227,5421.4,288.332,529.640384,930.447214,1053.0135,175.50225,0.0,0.0,1579.52025,526.50675,175.50225,0.0,799.288599,3720.590384,5239.780813,0.0,5239.780813,4191.82465,7597.682178,1519.190429,40.83,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-08,"Optional Limited Work Authorization scope, application, and compliance controls",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2027-07-01,2029-03-31,1.195965,1.674,2812.3,252.44,244.123794,422.584379,971.9556,242.9889,0.0,0.0,728.9667,242.9889,121.49445,121.49445,513.445208,2453.113794,3365.918587,0.0,3365.918587,2692.73487,4880.581951,912.804793,37.21,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-09,"CP conditions, commitments, and authorization-to-construct implementation",Power Reactor,part50,power_reactor_licensing,licensing_authorization,management_control,2029-07-01,2029-12-31,1.002177,1.403,2357.0,253.06,207.487941,355.043808,565.5804,141.3951,0.0,0.0,424.1853,141.3951,70.69755,70.69755,318.419065,1492.897941,2087.413873,0.0,2087.413873,1669.931099,3026.750116,594.515932,39.82,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-10,"Detailed design completion, PSAR-to-as-built configuration control, and OL impact evaluation",Power Reactor,part50,power_reactor_licensing,systems_engineering,design_engineering,2028-01-01,2034-03-31,5.529258,7.741,13004.9,240.991,1089.179683,1865.51432,3620.0472,905.0118,0.0,0.0,2715.0354,905.0118,452.5059,452.5059,1964.813818,9316.559683,12880.446138,0.0,12880.446138,10304.35691,18676.6469,3563.886455,38.25,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-11,"Part 50 construction inspection readiness, quality oversight, and regulatory reporting",Power Reactor,part50,power_reactor_licensing,quality_configuration,construction_installation,2029-10-01,2034-12-31,2.091645,3.5,5880.0,236.072,401.86773,826.251425,2242.6404,560.6601,0.0,0.0,1681.9803,560.6601,280.33005,280.33005,1157.913437,5498.77773,7590.765862,0.0,7590.765862,6072.612689,11006.610499,2091.988132,38.04,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-12,Final Safety Analysis Report and as-built safety-analysis application development,Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2031-01-01,2033-06-30,6.236775,8.731,14668.1,252.58,1286.542839,2205.276982,3365.8548,841.4637,0.0,0.0,2524.3911,841.4637,420.73185,420.73185,1911.584517,8936.212839,12531.498499,0.0,12531.498499,10025.198799,18170.672823,3595.28566,40.23,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-13,"Technical Specifications, operating programs, staffing, training, EP, security, and simulator readiness",Power Reactor,part50,power_reactor_licensing,human_factors,licensing_product,2031-01-01,2034-06-30,3.340431,4.9,8232.0,232.414,638.108467,1138.828431,1600.4142,266.7357,0.0,0.0,2400.6213,800.2071,266.7357,0.0,1165.237638,5487.848467,7638.780069,0.0,7638.780069,6111.024055,11076.231099,2150.931602,39.19,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-14,"Operating License application assembly, submittal, and docketing",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2033-01-01,2033-06-30,1.589364,2.225,3738.0,253.622,326.391638,564.309949,761.1912,126.8652,0.0,0.0,1141.7868,380.5956,126.8652,0.0,558.290511,2633.031638,3659.90446,0.0,3659.90446,2927.923568,5306.861467,1026.872822,39.0,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-15,"Preoperational, startup, and power-ascension evidence for OL findings",Power Reactor,part50,power_reactor_licensing,licensing_authorization,test_experiment,2033-01-01,2035-03-31,3.088098,4.323,7262.6,225.536,568.903399,974.992085,1246.5684,207.7614,0.0,0.0,1869.8526,623.2842,207.7614,0.0,923.439615,4346.383399,6053.6597,0.0,6053.6597,4842.92776,8777.806565,1707.276301,39.28,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-16,"NRC operating-license review, RAIs, audits, inspections, and confirmatory-item closure",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2033-07-01,2035-01-31,3.678147,5.149,8650.3,251.257,752.680815,1293.723811,1658.9034,276.4839,0.0,0.0,2488.3551,829.4517,276.4839,0.0,1228.212326,5779.660815,8051.614137,0.0,8051.614137,6441.29131,11674.840499,2271.953322,39.31,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-17,"Operating-license ACRS review, hearing, and final licensing record",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2034-01-01,2035-02-28,2.049192,2.869,4819.9,280.461,459.116602,804.642304,964.69065,160.781775,0.0,0.0,1447.035975,482.345325,160.781775,0.0,723.650005,3382.421602,4743.927809,0.0,4743.927809,3795.142247,6878.695323,1361.506207,40.25,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-18,"10 CFR 50.57 findings, Operating License issuance, and startup authorization implementation",Power Reactor,part50,power_reactor_licensing,licensing_authorization,licensing_product,2035-01-01,2035-03-31,1.099008,1.539,2585.5,242.574,218.419445,373.321055,494.4555,82.40925,0.0,0.0,741.68325,247.22775,82.40925,0.0,363.87109,1716.769445,2385.377145,0.0,2385.377145,1908.301716,3458.79686,668.6077,38.95,Licensing planning estimate,Bottom-up activity-based estimate by work package
P50-19,"Early-operation licensing-basis maintenance, startup amendments, and first-cycle feedback",Power Reactor,part50,power_reactor_licensing,licensing_authorization,operations_program,2035-04-01,2038-12-31,1.385208,1.939,3257.5,241.408,273.432428,468.090892,994.224,248.556,0.0,0.0,745.668,248.556,124.278,124.278,531.657161,2533.032428,3485.308053,0.0,3485.308053,2788.246442,5053.696676,952.275625,37.59,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-01,"Part 52 product-stack decision, design-finality strategy, and fleet business case",Power Reactor,part52,power_reactor_licensing,licensing_authorization,management_control,2026-10-01,2027-03-31,1.738464,2.434,4089.1,269.196,379.231507,655.223015,1034.0616,258.5154,0.0,0.0,775.5462,258.5154,129.2577,129.2577,583.267863,2729.371507,3823.644878,0.0,3823.644878,3058.915902,5544.285073,1094.273371,40.09,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-02,"Part 52 pre-application engagement, topical reports, readiness assessments, and review-plan alignment",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2026-10-01,2029-03-31,3.540264,4.956,8326.1,258.519,744.988787,1281.219255,1778.2611,296.37685,0.0,0.0,2667.39165,889.13055,296.37685,0.0,1297.576126,6133.658787,8506.332381,0.0,8506.332381,6805.065905,12334.181952,2372.673594,38.68,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-03,"Standard design completion, design reference baseline, and certification-quality engineering",Power Reactor,part52,power_reactor_licensing,systems_engineering,design_engineering,2026-10-01,2029-06-30,7.3164,10.243,17208.2,244.048,1461.156456,2499.787336,4711.77632,1177.94408,0.0,0.0,3533.83224,1177.94408,588.97204,588.97204,2570.261064,12573.836456,16849.4892,0.0,16849.4892,13479.59136,24431.759341,4275.652744,34.0,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-04,"COL site-specific design, Environmental Report, and referenced-approval reconciliation",Power Reactor,part52,power_reactor_licensing,site_environmental,design_engineering,2027-01-01,2028-12-31,3.82069,5.349,8986.3,237.695,740.050043,1271.42861,4268.57805,0.0,0.0,0.0,1897.1458,948.5729,948.5729,1422.85935,1936.28837,9363.440043,12693.44598,0.0,12693.44598,10154.756784,18405.496671,3330.005937,35.56,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-05,"Tier 1, Tier 2, departures, exemptions, COL action items, and ITAAC architecture",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2027-04-01,2028-12-31,2.553096,3.574,6004.3,249.619,518.615262,892.139495,3167.2564,791.8141,0.0,0.0,2375.4423,791.8141,395.90705,395.90705,1585.850489,7716.925262,10396.130984,0.0,10396.130984,8316.904787,15074.389927,2679.205722,34.72,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-06,"Combined License application: final design, FSAR, programs, Technical Specifications, ER, and ITAAC",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2027-07-01,2028-12-31,5.557406,8.4,14112.0,251.129,1141.467864,2109.484082,4908.47416,1227.11854,0.0,0.0,3681.35562,1227.11854,613.55927,613.55927,2588.520507,12718.057864,16969.189989,0.0,16969.189989,13575.351991,24605.325484,4251.132125,33.43,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-07,"NRC COL safety, environmental, safeguards, and program review; audits and RAI closure",Power Reactor,part52,power_reactor_licensing,site_environmental,licensing_product,2028-07-01,2029-09-30,4.720061,6.608,11101.4,255.295,982.308904,1686.990721,3459.30258,576.55043,0.0,0.0,5188.95387,1729.65129,576.55043,0.0,2379.239878,11860.618904,15597.239199,0.0,15597.239199,12477.791359,22615.996838,3736.620295,31.5,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-08,"COL ACRS review, mandatory hearing, contentions, and Commission decision",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2029-01-01,2029-12-31,2.27052,3.179,5340.7,295.089,531.307728,938.087264,1468.7409,244.79015,0.0,0.0,2203.11135,734.37045,244.79015,0.0,1050.100248,4982.037728,6883.990512,0.0,6883.990512,5507.192409,9981.786242,1901.952784,38.18,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-09,"COL issuance, license-condition implementation, and construction authorization readiness",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2029-10-01,2029-12-31,1.129968,1.582,2657.8,253.43,234.316051,400.926218,676.1172,112.6862,0.0,0.0,1014.1758,338.0586,112.6862,0.0,477.837039,2283.156051,3132.487257,0.0,3132.487257,2505.989806,4542.106523,849.331206,37.2,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-10,"Certified/COL design departure, exemption, amendment, and configuration-control program",Power Reactor,part52,power_reactor_licensing,quality_configuration,management_control,2029-10-01,2038-12-31,1.48176,2.8,4704.0,245.622,295.81393,687.742857,1767.8628,441.9657,0.0,0.0,1325.8971,441.9657,220.98285,220.98285,919.331974,4313.68393,6026.731831,0.0,6026.731831,4821.385465,8738.761155,1713.047901,39.71,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-11,"ITAAC program, execution schedule, vendor test crosswalk, and objective-evidence architecture",Power Reactor,part52,power_reactor_licensing,licensing_authorization,management_control,2028-01-01,2030-06-30,2.518992,4.2,7056.0,229.631,472.063336,964.45098,2643.6476,660.9119,0.0,0.0,1982.7357,660.9119,330.45595,330.45595,1363.242596,6480.353336,8936.812576,0.0,8936.812576,7149.450061,12958.378236,2456.45924,37.91,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-12,"ITAAC inspections, tests, analyses, evidence collection, and exception resolution",Power Reactor,part52,power_reactor_licensing,licensing_authorization,test_experiment,2030-01-01,2034-06-30,3.914064,6.3,10584.0,225.098,718.328419,1418.116534,4331.6636,1082.9159,0.0,0.0,3248.7477,1082.9159,541.45795,541.45795,2204.509596,10563.018419,14451.78513,0.0,14451.78513,11561.428104,20955.088439,3888.766711,36.81,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-13,"ITAAC Closure Notifications, UINs, public docket index, and all-ITAAC-complete package",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2031-01-01,2035-01-31,1.992816,3.5,5880.0,246.48,398.291846,862.6783,2027.8962,337.9827,0.0,0.0,3041.8443,1013.9481,337.9827,0.0,1372.019814,6543.431846,8994.352114,0.0,8994.352114,7195.481691,13041.810565,2450.920268,37.46,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-14,"Preoperational ITAAC hearing, 52.103(f) petition readiness, and operation-finding evidence",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2034-06-01,2035-02-28,1.55232,2.8,4704.0,280.552,346.36896,785.545455,1143.5094,190.5849,0.0,0.0,1715.2641,571.7547,190.5849,0.0,827.503822,3811.54896,5424.747277,0.0,5424.747277,4339.797822,7865.883552,1613.198317,42.32,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-15,"52.103(g) acceptance-criteria finding, license transition, and authorization to operate",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2035-01-01,2035-03-31,1.145088,1.603,2693.0,242.328,227.370125,388.452337,619.1922,103.1987,0.0,0.0,928.7883,309.5961,103.1987,0.0,441.436741,2103.710125,2893.863078,0.0,2893.863078,2315.090462,4196.101463,790.152953,37.56,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-16,Post-52.103 licensing-basis maintenance and fleet reuse of certified/COL assets,Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2035-04-01,2038-12-31,1.08108,1.75,2940.0,236.217,209.115044,413.379371,1040.2348,260.0587,0.0,0.0,780.1761,260.0587,130.02935,130.02935,542.513947,2573.285044,3556.480318,0.0,3556.480318,2845.184254,5156.896461,983.195274,38.21,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-D01,"Design Certification application, Tier 1/Tier 2 content, and standard-design ITAAC",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2027-01-01,2027-09-30,4.181486,6.3,10584.0,255.847,871.509045,1611.837202,6261.85672,1565.46418,0.0,0.0,4696.39254,1565.46418,782.73209,782.73209,3107.96622,15640.039045,20374.445222,0.0,20374.445222,16299.556178,29542.945572,4734.406177,30.27,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-D02,"NRC Design Certification technical review, audits, RAIs, and ACRS closure",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2027-10-01,2029-06-30,4.089322,5.725,9618.0,259.796,864.074875,1487.332004,5281.95138,880.32523,0.0,0.0,7922.92707,2640.97569,880.32523,0.0,3436.890589,17473.984875,22530.727193,0.0,22530.727193,18024.581754,32669.554429,5056.742318,28.94,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-D03,"Design Certification rulemaking, public comments, final certification, and reference implementation",Power Reactor,part52,power_reactor_licensing,licensing_authorization,licensing_product,2029-01-01,2029-09-30,1.33093,2.8,4704.0,296.257,312.105565,829.519497,2489.9754,414.9959,0.0,0.0,3734.9631,1244.9877,414.9959,0.0,1643.298749,7857.485565,10772.736246,0.0,10772.736246,8618.188997,15620.467557,2915.250681,37.1,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-E01,"Early Site Permit application: site safety, environmental, emergency, and site-parameter envelope",Power Reactor,part52,power_reactor_licensing,site_environmental,licensing_product,2026-10-01,2027-06-30,3.787056,5.302,8907.4,236.582,728.516702,1254.360238,3801.2238,0.0,0.0,0.0,1689.4328,844.7164,844.7164,1267.0746,1746.274363,8407.756702,11447.798601,0.0,11447.798601,9158.238881,16599.307971,3040.041899,36.16,Licensing planning estimate,Bottom-up activity-based estimate by work package
P52-E02,"NRC ESP review, environmental impact statement, hearing, and ESP issuance",Power Reactor,part52,power_reactor_licensing,site_environmental,licensing_product,2027-04-01,2029-03-31,2.776738,3.887,6530.2,259.694,582.530531,1009.430707,3210.1146,535.0191,0.0,0.0,4815.1719,1605.0573,535.0191,0.0,2107.766287,10310.150531,13817.578994,0.0,13817.578994,11054.063195,20035.489542,3507.428463,34.02,Licensing planning estimate,Bottom-up activity-based estimate by work package
